Kod,Gmina,Powiat,Wojewodztwo,Rok,Data,Dotacja
201011,Bolesławiec (1),Powiat bolesławiecki,DOLNOŚLĄSKIE,2004,2004-10-27,4425448
201011,Bolesławiec (1),Powiat bolesławiecki,DOLNOŚLĄSKIE,2005,2005-02-28,1858637
201011,Bolesławiec (1),Powiat bolesławiecki,DOLNOŚLĄSKIE,2006,2006-05-29,2001002
201011,Bolesławiec (1),Powiat bolesławiecki,DOLNOŚLĄSKIE,2007,2007-09-05,3428187
201011,Bolesławiec (1),Powiat bolesławiecki,DOLNOŚLĄSKIE,2008,2008-10-02,10108717
201011,Bolesławiec (1),Powiat bolesławiecki,DOLNOŚLĄSKIE,2009,2009-02-27,2931912
201011,Bolesławiec (1),Powiat bolesławiecki,DOLNOŚLĄSKIE,2010,2010-07-28,41496936
201011,Bolesławiec (1),Powiat bolesławiecki,DOLNOŚLĄSKIE,2011,2011-11-08,12748842
201011,Bolesławiec (1),Powiat bolesławiecki,DOLNOŚLĄSKIE,2012,2012-05-31,55947167
201011,Bolesławiec (1),Powiat bolesławiecki,DOLNOŚLĄSKIE,2013,2013-03-01,13098476
201011,Bolesławiec (1),Powiat bolesławiecki,DOLNOŚLĄSKIE,2014,2014-05-07,7792941
201011,Bolesławiec (1),Powiat bolesławiecki,DOLNOŚLĄSKIE,2015,2015-03-06,3866158
201011,Bolesławiec (1),Powiat bolesławiecki,DOLNOŚLĄSKIE,2016,2016-05-09,48976116
201011,Bolesławiec (1),Powiat bolesławiecki,DOLNOŚLĄSKIE,2017,2017-01-26,4546102
201011,Bolesławiec (1),Powiat bolesławiecki,DOLNOŚLĄSKIE,2018,2018-04-24,2692038
201011,Bolesławiec (1),Powiat bolesławiecki,DOLNOŚLĄSKIE,2019,2019-07-20,4659917
201011,Bolesławiec (1),Powiat bolesławiecki,DOLNOŚLĄSKIE,2020,2020-07-17,6470986
201011,Bolesławiec (1),Powiat bolesławiecki,DOLNOŚLĄSKIE,2021,2021-03-31,36192054
201011,Bolesławiec (1),Powiat bolesławiecki,DOLNOŚLĄSKIE,2022,2022-09-29,9398482
3015012,Kuślin (2),Powiat nowotomyski,WIELKOPOLSKIE,2004,2004-01-01,18575768
3015012,Kuślin (2),Powiat nowotomyski,WIELKOPOLSKIE,2005,2005-04-14,4233082
3015012,Kuślin (2),Powiat nowotomyski,WIELKOPOLSKIE,2006,2006-04-08,1242306
3015012,Kuślin (2),Powiat nowotomyski,WIELKOPOLSKIE,2007,2007-09-13,2926416
3015012,Kuślin (2),Powiat nowotomyski,WIELKOPOLSKIE,2008,2008-03-23,20893913
3015012,Kuślin (2),Powiat nowotomyski,WIELKOPOLSKIE,2009,2009-02-15,12834015
3015012,Kuślin (2),Powiat nowotomyski,WIELKOPOLSKIE,2010,2010-09-06,52417009
3015012,Kuślin (2),Powiat nowotomyski,WIELKOPOLSKIE,2011,2011-02-04,462756
3015012,Kuślin (2),Powiat nowotomyski,WIELKOPOLSKIE,2012,2012-03-20,44468787
3015012,Kuślin (2),Powiat nowotomyski,WIELKOPOLSKIE,2013,2013-03-30,1832242
3015012,Kuślin (2),Powiat nowotomyski,WIELKOPOLSKIE,2014,2014-05-26,11378805
3015012,Kuślin (2),Powiat nowotomyski,WIELKOPOLSKIE,2015,2015-05-07,4868158
3015012,Kuślin (2),Powiat nowotomyski,WIELKOPOLSKIE,2016,2016-06-16,726024
3015012,Kuślin (2),Powiat nowotomyski,WIELKOPOLSKIE,2017,2017-11-27,1746141
3015012,Kuślin (2),Powiat nowotomyski,WIELKOPOLSKIE,2018,2018-10-24,27815545
3015012,Kuślin (2),Powiat nowotomyski,WIELKOPOLSKIE,2019,2019-09-22,789200
3015012,Kuślin (2),Powiat nowotomyski,WIELKOPOLSKIE,2020,2020-05-28,9787078
3015012,Kuślin (2),Powiat nowotomyski,WIELKOPOLSKIE,2021,2021-11-03,54452038
3015012,Kuślin (2),Powiat nowotomyski,WIELKOPOLSKIE,2022,2022-11-07,4754936
3015023,Lwówek (3),Powiat nowotomyski,WIELKOPOLSKIE,2004,2004-09-01,532108
3015023,Lwówek (3),Powiat nowotomyski,WIELKOPOLSKIE,2005,2005-03-07,7927687
3015023,Lwówek (3),Powiat nowotomyski,WIELKOPOLSKIE,2006,2006-09-10,30562404
3015023,Lwówek (3),Powiat nowotomyski,WIELKOPOLSKIE,2007,2007-07-12,4200864
3015023,Lwówek (3),Powiat nowotomyski,WIELKOPOLSKIE,2008,2008-05-31,17898171
3015023,Lwówek (3),Powiat nowotomyski,WIELKOPOLSKIE,2009,2009-03-27,2626074
3015023,Lwówek (3),Powiat nowotomyski,WIELKOPOLSKIE,2010,2010-07-27,46733548
3015023,Lwówek (3),Powiat nowotomyski,WIELKOPOLSKIE,2011,2011-06-22,10006954
3015023,Lwówek (3),Powiat nowotomyski,WIELKOPOLSKIE,2012,2012-01-11,292037
3015023,Lwówek (3),Powiat nowotomyski,WIELKOPOLSKIE,2013,2013-07-27,5599026
3015023,Lwówek (3),Powiat nowotomyski,WIELKOPOLSKIE,2014,2014-10-12,1844931
3015023,Lwówek (3),Powiat nowotomyski,WIELKOPOLSKIE,2015,2015-12-26,4213077
3015023,Lwówek (3),Powiat nowotomyski,WIELKOPOLSKIE,2016,2016-11-17,295108
3015023,Lwówek (3),Powiat nowotomyski,WIELKOPOLSKIE,2017,2017-04-20,19454608
3015023,Lwówek (3),Powiat nowotomyski,WIELKOPOLSKIE,2018,2018-11-08,20732078
3015023,Lwówek (3),Powiat nowotomyski,WIELKOPOLSKIE,2019,2019-11-28,69483006
3015023,Lwówek (3),Powiat nowotomyski,WIELKOPOLSKIE,2020,2020-07-20,31991616
3015023,Lwówek (3),Powiat nowotomyski,WIELKOPOLSKIE,2021,2021-07-11,29530077
3015023,Lwówek (3),Powiat nowotomyski,WIELKOPOLSKIE,2022,2022-06-21,9316010
3015032,Miedzichowo (2),Powiat nowotomyski,WIELKOPOLSKIE,2004,2004-08-07,1076753
3015032,Miedzichowo (2),Powiat nowotomyski,WIELKOPOLSKIE,2005,2005-11-28,675228
3015032,Miedzichowo (2),Powiat nowotomyski,WIELKOPOLSKIE,2006,2006-03-21,34519802
3015032,Miedzichowo (2),Powiat nowotomyski,WIELKOPOLSKIE,2007,2007-02-26,3436431
3015032,Miedzichowo (2),Powiat nowotomyski,WIELKOPOLSKIE,2008,2008-06-30,1904553
3015032,Miedzichowo (2),Powiat nowotomyski,WIELKOPOLSKIE,2009,2009-03-06,8121776
3015032,Miedzichowo (2),Powiat nowotomyski,WIELKOPOLSKIE,2010,2010-08-26,8846298
3015032,Miedzichowo (2),Powiat nowotomyski,WIELKOPOLSKIE,2011,2011-11-20,25257055
3015032,Miedzichowo (2),Powiat nowotomyski,WIELKOPOLSKIE,2012,2012-01-14,15596237
3015032,Miedzichowo (2),Powiat nowotomyski,WIELKOPOLSKIE,2013,2013-08-22,37846953
